[2026-06-16T05:16:34.687Z] check sc=0 len=13096 ZXAN=true
[2026-06-16T05:16:34.737Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.779Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:34.927Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.968Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.015Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.081Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.127Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.175Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.191Z] check sc=0 len=13391 ZXAN=true
[2026-06-16T05:16:35.230Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.286Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.377Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.428Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.475Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.530Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.585Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.632Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.679Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.695Z] check sc=0 len=13745 ZXAN=true
[2026-06-16T05:16:35.777Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.819Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:35.948Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:35.993Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:36.041Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:36.091Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:36.137Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
